25-05-2018 11:55:47,2,"[255 255 255 ..., 255 255 255]"
25-05-2018 11:55:49,3,"[0 0 0 ..., 0 0 0]"
25-05-2018 11:55:49,4,"[255 255 255 ...,   0   0   0]"
25-05-2018 11:55:50,5,"[0 0 0 ..., 0 0 0]"
25-05-2018 12:28:19,539,"[0 0 0 ..., 0 0 0]"
25-05-2018 12:28:47,540,"[255 255 255 ..., 255 255 255]"
25-05-2018 12:29:02,150,"[255 255 255 ..., 255 255 255]"
25-05-2018 12:29:04,30,"[255 255 255 ..., 255 255 255]"
25-05-2018 12:29:06,90,"[255 255 255 ..., 255 255 255]"
25-05-2018 12:29:08,75,"[255 255 255 ...,   0   0   0]"
25-05-2018 12:29:11,600,"[0 0 0 ..., 0 0 0]"
25-05-2018 12:29:27,540,"[255 255 255 ..., 255 255 255]"
25-05-2018 12:31:20,539,"[0 0 0 ..., 0 0 0]"
25-05-2018 12:31:26,540,"[255 255 255 ...,   0   0   0]"
25-05-2018 12:31:30,555,"[255 255 255 ...,   0   0   0]"
25-05-2018 12:31:35,20,"[255 255 255 ...,   0   0   0]"
25-05-2018 12:31:39,538,"[255 255 255 ...,   0   0   0]"
25-05-2018 13:48:12,539,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:48:15,540,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:48:21,20,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:48:26,75,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:48:28,90,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:48:31,100,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:48:34,150,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:48:38,170,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:48:41,20,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:48:45,10,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:48:53,540,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:48:55,555,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:52:16,540,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:52:35,555,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:52:42,30,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:52:45,170,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:52:48,10,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:52:51,75,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:52:58,30,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:53:08,75,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:53:20,539,"[  0   0   0 ..., 255 255   0]"
25-05-2018 13:53:34,520,"[  0   0   0 ..., 255 255 255]"
25-05-2018 13:53:48,75,"[  0   0   0 ..., 255 255 255]"
25-05-2018 13:53:51,180,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:53:56,170,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:53:59,120,"[  0 255 255 ...,   0   0   0]"
25-05-2018 13:54:02,30,"[255 255 255 ...,   0   0   0]"
25-05-2018 13:54:13,130,"[255 255 255 ...,   0   0   0]"
25-05-2018 13:54:16,20,"[255 255 255 ...,   0   0   0]"
25-05-2018 13:54:24,130,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:54:28,20,"[255 255 255 ...,   0   0   0]"
25-05-2018 13:54:36,75,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:54:46,40,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:54:52,30,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:54:54,90,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:55:03,50,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:55:07,30,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:55:09,50,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:55:18,150,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:55:21,40,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:55:26,75,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:56:38,40,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:56:44,75,"[  0 255 255 ...,   0   0   0]"
25-05-2018 13:56:48,150,"[  0   0 255 ...,   0   0   0]"
25-05-2018 13:56:50,75,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:56:52,40,"[  0   0   0 ..., 255 255 255]"
25-05-2018 13:56:55,20,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:57:01,40,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:57:03,30,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:57:04,90,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:57:07,540,"[255 255 255 ...,   0   0   0]"
25-05-2018 13:57:31,555,"[  0   0 255 ...,   0   0   0]"
25-05-2018 13:57:45,530,"[  0   0 255 ...,   0   0   0]"
25-05-2018 13:57:53,75,"[255 255 255 ...,   0   0   0]"
25-05-2018 13:58:37,180,"[  0   0 255 ...,   0   0   0]"
25-05-2018 13:58:50,75,"[  0   0 255 ...,   0   0   0]"
25-05-2018 13:59:00,180,"[255 255 255 ...,   0   0   0]"
25-05-2018 13:59:02,75,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:59:10,90,"[0 0 0 ..., 0 0 0]"
25-05-2018 13:59:17,30,"[0 0 0 ..., 0 0 0]"
25-05-2018 14:06:44,90,"[0 0 0 ..., 0 0 0]"
25-05-2018 14:06:49,30,"[255 255 255 ...,   0   0   0]"
25-05-2018 14:06:54,10,"[255 255 255 ...,   0   0   0]"
25-05-2018 14:06:57,180,"[255 255 255 ...,   0   0   0]"
25-05-2018 14:07:01,150,"[255 255 255 ...,   0   0   0]"
25-05-2018 14:07:06,20,"[255 255 255 ...,   0   0   0]"
25-05-2018 14:07:25,30,"[255 255 255 ...,   0   0   0]"
25-05-2018 14:12:19,90,"[0 0 0 ..., 0 0 0]"
25-05-2018 14:12:22,30,"[  0   0 255 ...,   0   0   0]"
25-05-2018 14:12:32,60,"[  0 255 255 ...,   0   0   0]"
25-05-2018 14:12:37,150,"[  0   0 255 ...,   0   0   0]"
